checkIDs	PersonID	OrgID	EventID	From	To	Role	Acting	RoleName_en	RoleName_uk
 	ЮрійВасильовичПродан.1959	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Energy and Coal Industry	Міністр енергетики та вугільної промисловості України
 ERR:org	ЮрійВасильовичПродан.1959	pp.independent							
 	ІгорЙосиповичТенюх.1958	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-03-25	minister	1	Minister of Defense	Міністр оборони України (в.о.)
 	ІгорЙосиповичТенюх.1958	pp.Sv				member			
 	МихайлоВолодимировичКоваль.1956	GOV.UA	GOV.UA.1stYatseniuk	2014-03-25	2014-07-03	minister	1	Minister of Defense	Міністр оборони України (в.о.)
 ERR:org	МихайлоВолодимировичКоваль.1956	pp.independent							
 	ВалерійВікторовичГелетей.1967	GOV.UA	GOV.UA.1stYatseniuk	2014-07-03	2014-10-14	minister		Minister of Defense	Міністр оборони України
 ERR:org	ВалерійВікторовичГелетей.1967	pp.independent							
 	СтепанТимофійовичПолторак.1965	GOV.UA	GOV.UA.1stYatseniuk	2014-10-14	2014-12-02	minister		Minister of Defense	Міністр оборони України
 	СтепанТимофійовичПолторак.1965	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Defense	Міністр оборони України
 	СтепанТимофійовичПолторак.1965	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Defense	Міністр оборони України
 ERR:org	СтепанТимофійовичПолторак.1965	pp.independent							
 	МаксимЮрійовичБурбак.1976	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Infrastructure	Міністр інфраструктури України
 	МаксимЮрійовичБурбак.1976	pp.BUT		2012-10-28		nominated			
 	МаксимЮрійовичБурбак.1976	pp.NF		2014-10-26		member			
 	ОлександрВіталійовичШлапак.1960	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of Finance	Міністр фінансів України
 ERR:org	ОлександрВіталійовичШлапак.1960	pp.independent							
 	ОстапМихайловичСемерак.1972	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-12-02	minister		Minister of the Cabinet of Ministers	Міністр Кабінету Міністрів
 	ОстапМихайловичСемерак.1972	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Ecology and Natural Resources	Міністр екології та природних ресурсів України
 	ОстапМихайловичСемерак.1972	pp.BUT		2013	2014	member			
 	ОстапМихайловичСемерак.1972	pp.NF		2014-10-26		member			
 	ВалерійМиколайовичВощевський.1956	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2015-09-17	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	ВалерійМиколайовичВощевський.1956	pp.RP		2014-10-26		member			
 	В’ячеславАнатолійовичКириленко.1968	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	В’ячеславАнатолійовичКириленко.1968	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Culture	Міністр культури України
 	В’ячеславАнатолійовичКириленко.1968	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	В’ячеславАнатолійовичКириленко.1968	pp.NF		2014-10-26		member			
 	В’ячеславАнатолійовичКириленко.1968	pp.BUT		2012-10-28		nominated			
 	ГеннадійГригоровичЗубко.1967	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	ГеннадійГригоровичЗубко.1967	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	ГеннадійГригоровичЗубко.1967	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Regional Development, Construction and Communal Living	Міністр регіонального розвитку, будівництва та житлово-комунального господарства України
 	ГеннадійГригоровичЗубко.1967	pp.BUT		2014-10-26		nominated			
 ERR:org	ГеннадійГригоровичЗубко.1967	pp.BPP;pp.ES		2016-04-14		nominated			
 	АйварасАбромавічус.1976	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Economical Development and Trade	Міністр економічного розвитку і торгівлі України
 ERR:org	АйварасАбромавічус.1976	pp.independent							
 	ВолодимирВасильовичДемчишин.1974	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Energy and Coal Industry 	Міністр енергетики та вугільної промисловості України
 ERR:org	ВолодимирВасильовичДемчишин.1974	pp.independent							
 	ІгорОлександровичЖданов.1967	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Youth and Sports 	Міністр молоді та спорту України
 	ІгорОлександровичЖданов.1967	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Youth and Sports 	Міністр молоді та спорту України
 	ІгорОлександровичЖданов.1967	pp.BUT		2014-10-26		member			
 	ІгорОлександровичЖданов.1967	pp.NF		2016-04-11		member			
 	ОлександрКвіташвілі.1970	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Healthcare	Міністр охорони здоров'я України
 ERR:org	ОлександрКвіташвілі.1970	pp.independent							
 	ГаннаВолодимирівнаОнищенко.1984	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of the Cabinet of Ministers	Міністр Кабінету Міністрів
 ERR:org	ГаннаВолодимирівнаОнищенко.1984	pp.independent							
 	ОлексійМихайловичПавленко.1977	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Agrarian Policy and Food	Міністр аграрної політики та продовольства України
 ERR:org	ОлексійМихайловичПавленко.1977	pp.independent							
 	АндрійМиколайовичПивоварський.1978	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Infrastructure	Міністр інфраструктури України
 ERR:org	АндрійМиколайовичПивоварський.1978	pp.independent							
 	ПавлоВалерійовичРозенко.1970	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Social Policy	Міністр соціальної політики України
 	ПавлоВалерійовичРозенко.1970	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	deputyHead		Vice Prime Minister	Віце-прем'єр-міністр України
 	ПавлоВалерійовичРозенко.1970	pp.Ud		2012-10-28		member			
 	ЮрійЯрославовичСтець.1975	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Information Policy	Міністр інформаційної політики України
 	ЮрійЯрославовичСтець.1975	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Information Policy	Міністр інформаційної політики України
 	ЮрійЯрославовичСтець.1975	pp.BUT		2012-10-28	2014	nominated			
 ERR:org	ЮрійЯрославовичСтець.1975	pp.BPP;pp.ES		2014-10-26		member			
 	НаталіяЯресько.1965	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02		minister		Minister of Finance	Міністр фінансів України
 ERR:org	НаталіяЯресько.1965	pp.independent							
 	ІгорАнатолійовичШевченко.1971	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2015-07-02	minister		Minister of Ecology and Natural Resources	Міністр екології та природних ресурсів України
 ERR:org	ІгорАнатолійовичШевченко.1971	pp.independent							
